date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1999-03-10,102.125,102.3125,100.5625,102.125,2616100,43.7821,,
1999-03-11,102.875,103.4688,100.625,102.625,4844300,43.9964,0.49,
1999-03-12,102.25,102.3125,99.3125,100.125,4371800,42.9246,-2.44,
1999-03-15,100.875,103.125,99.8125,103.0,3184500,44.1572,2.87,
1999-03-16,103.4375,104.3125,102.3125,103.875,2452900,44.5323,0.85,
1999-03-17,103.875,104.0,102.8125,103.125,1982500,44.2108,-0.72,
1999-03-18,103.0,105.1875,102.9688,105.125,2424200,45.0682,1.94,
1999-03-19,106.5,106.5,102.375,102.4375,3580200,43.916,-2.56,
1999-03-22,102.875,103.125,101.0,101.1875,2512400,43.3801,-1.22,
1999-03-23,100.625,101.0,97.4375,97.625,5481200,41.8529,-3.52,
1999-03-24,98.5,101.0,97.0,100.9375,4223500,43.273,3.39,
1999-03-25,102.5,104.625,101.8281,104.625,4066900,44.8538,3.65,
1999-03-26,103.75,104.9375,103.0625,103.5,4128100,44.3715,-1.08,
1999-03-29,104.75,107.3125,104.125,107.25,2556900,45.9792,3.62,
1999-03-30,107.125,108.0,106.0625,106.5,2470300,45.6577,-0.7,
1999-03-31,108.25,108.375,104.625,104.9375,4128300,44.9878,-1.47,
1999-04-01,108.0,108.125,105.375,107.125,4357900,45.9256,2.08,
1999-04-05,108.8594,111.1562,108.1875,111.0,2848600,47.5869,3.62,
1999-04-06,110.875,112.4375,109.9375,111.2188,3761200,47.6807,0.2,
1999-04-07,112.25,112.5,107.6875,110.0625,5961800,47.1849,-1.04,7195360.0
1999-04-08,109.875,111.4688,107.625,110.9375,3976200,47.5601,0.8,7331370.0
1999-04-09,110.75,111.875,110.4375,111.625,2473400,47.8548,0.62,7094280.0
1999-04-12,109.0,111.625,108.875,110.875,5467000,47.5333,-0.67,7203800.0
1999-04-13,111.5625,111.8125,108.5,109.375,4981100,46.8902,-1.35,7383460.0
1999-04-14,110.75,110.875,105.0156,105.625,10626900,45.2825,-3.43,8200860.0
1999-04-15,106.0,107.2344,102.25,107.0625,8825300,45.8988,1.36,8885140.0
1999-04-16,106.8125,106.8125,103.375,103.9375,8637000,44.5591,-2.92,9506420.0
1999-04-19,104.625,105.5,98.0156,99.0625,9730300,42.4691,-4.69,10121430.0
1999-04-20,98.625,102.125,97.6875,101.3125,8706800,43.4337,2.27,10740870.0
1999-04-21,102.25,106.375,100.875,106.3125,5470200,45.5773,4.94,10739770.0
